id,ids of components,two_components,relation type
144,"[172, 171]","['Without dialogue with the Ukrainian side, which it has taken by the throat, Russia has brutally raised the price of gas.', 'Further still, the economic pressure is becoming more biting.']",support
145,"[173, 171]","['It blocks the entry of goods at the border between Russia and Ukraine, no doubt in an effort to stifle a country it calls its brother', 'Further still, the economic pressure is becoming more biting.']",support
146,"[177, 178]","['The future of Ukraine should not, and cannot, be up to anyone else but the Ukrainians themselves.', 'We should support the Ukrainian authorities in organizing elections, under the best of conditions, that ensure that everyone is represented.']",support
147,"[177, 179]","['The future of Ukraine should not, and cannot, be up to anyone else but the Ukrainians themselves.', 'Our message has always been clear that the presidential election scheduled for 25 May must be free and transparent and guaranteed by the presence of international observers.']",support
148,"[183, 181]","['Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.', 'We call on Russia commit to de-escalation and to condemn, along with the rest of the Council, the attempts at destabilization carried out by armed groups in eastern Ukraine.']",support
149,"[183, 182]","['Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.', 'We also call on Russia to fully assume its role as a permanent member of the Security Council.']",support
150,"[183, 184]","['Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.', 'Russia must today put its full weight behind helping Ukraine regain stability.']",support
151,"[183, 185]","['Russia is a guarantor of peace and security in the world, both in the larger world and in its immediate neighbourhood.', 'It must show itself up to the task ofplaying the role it wishes to play as a pillar of Euro-Asian stability.']",support
152,"[186, 187]","['We hope that the proposed meeting on 17 April among Russia, Ukraine, the United States and the European Union will be held and that it makes it possible for solutions to emerge.', 'we call on all parties to exercise calm and restraint.']",support
153,"[186, 188]","['We hope that the proposed meeting on 17 April among Russia, Ukraine, the United States and the European Union will be held and that it makes it possible for solutions to emerge.', 'The danger that now faces us is the failure of all our concerted efforts to build an international order that is not based on force, for today it is force alone that is seeking to impose the law.']",support
154,"[192, 193]","['After numerous calls for the de-escalation of the crisis, the situation has become more complex for the diverse Ukrainian community.', 'It is imperative to protect the rights of the citizens of Ukraine regardless of ethnic background.']",support
155,"[192, 194]","['After numerous calls for the de-escalation of the crisis, the situation has become more complex for the diverse Ukrainian community.', 'We reiterate our call for an inclusive dialogue, a frank and open discussion that is mutually beneficial for all the parties concerned.']",support
156,"[195, 196]","['Although Rwanda agrees in principle that Ukraine, like any other country, has a right to self-defence and to promote its territorial integrity, its acts should be proportional.', 'We discourage any military act that would put the lives of innocent civilians in danger.']",support
157,"[197, 196]","['Rwanda remains of the View that military action will only worsen the already tense situation.', 'We discourage any military act that would put the lives of innocent civilians in danger.']",support
158,"[197, 198]","['Rwanda remains of the View that military action will only worsen the already tense situation.', 'We encourage all the parties involved, particularly in the current situation, to exercise full restraint.']",support
